Denumire,PretFMC,Stoc TKR,Stoc TKRM,Realimentare Stoc
M/P Huawei Ascend Y530 black,€ 63.00,2,0,EOL - nu mai revine
M/P Nokia Lumia 930 Black,€ 344.00,4,0,EOL - nu mai revine
M/P Nokia Lumia 635 Black,€ 115.00,8,0,EOL - nu mai revine
M/P Samsung Galaxy S6 64GB Black,€ 567.00,4,0,EOL - nu mai revine
M/P Sony Xperia M4 Aqua Black,€ 179.00,5,0,EOL - nu mai revine
M/P LG G Flex 2,€ 415.00,1,0,EOL - nu mai revine
M/P Samsung Galaxy Core Prime G360G Charcoal Grey,€ 113.00,2,0,EOL - nu mai revine
M/P Allview M9 Luna,€ 24.00,100,135,EOL - nu mai revine
M/P Allview X2 Soul Lite black,€ 97.00,1,0,EOL - nu mai revine
M/P Allview X2 Soul Lite white,€ 97.00,0,0,EOL - nu mai revine
M/P iPhone 6s 16GB Silver,€ 599.00,2,0,EOL - nu mai revine
M/P iPhone 6s 16GB Gold,€ 599.00,0,13,EOL - nu mai revine
M/P iPhone 6s 16GB Rose Gold,€ 599.00,0,8,EOL - nu mai revine
M/P iPhone 6s Plus 64GB Space Gray,€ 767.00,0,6,EOL - nu mai revine
Server Dell PowerEdge T110 II. Intel Xeon E3-1220. 4G.  Up to 4x 3.5 Cabled HDDs.210-35874,"€ 1,532.35",8,0,EOL - nu mai revine
PowerEdge T410 Tower Chassis. Up to 6x 3.5 Cabled HDDs. LED Diagnostics. C2. TPM.210-31925,"€ 2,626.97",6,0,EOL - nu mai revine
Hotel TV 32 . HD. HG32ED450SWXEN,€ 256.41,337,0,EOL - nu mai revine
TV Samsung RM48D,€ 597.01,22,0,EOL - nu mai revine
TV Samsung UE55J5100AWXXH,€ 707.89,24,0,EOL - nu mai revine
M/P Acer Z530 Dual Sim Black Flip Cover,€ 105.00,34,0,EOL - nu mai revine
Samsung Galaxy Tab Active (LTE) T365 Black,€ 366.10,33,0,EOL - nu mai revine
Samsung Galaxy Tab S (8.4'') T705 black,€ 362.70,5,0,EOL - nu mai revine
Pachet PBX 41 - NEC SL1000,€ 490.40,1,0,Necunoscut
Pachet PBX 42 - NEC SL1000,€ 332.65,16,0,Necunoscut
Pachet PBX 43 - NEC SL1000,€ 245.20,5,0,Necunoscut
M/P Nokia 230,€ 41.00,32,175,Necunoscut
M/P LG K10 Black,€ 101.00,0,65,EOL - nu mai revine
Tableta Huawei Mediapad T1 10,€ 187.11,2,1,Necunoscut
M/P LG L65 Black,€ 78.00,0,86,EOL - nu mai revine
M/P CAT B25,€ 41.00,15,135,Necunoscut
M/P Allview P8 Energy Mini dual sim grey,€ 97.00,2,40,EOL - nu mai revine
"Samsung Tab S2. 9.7"". LTE Black",€ 501.46,45,0,Necunoscut
"Samsung Tab S2. 8"". LTE Black",€ 443.97,86,0,Necunoscut
"Samsung Tab E. 9.6"". 3G Black",€ 155.93,3892,0,Necunoscut
Pachet 58-PBX-Panasonic-3 trk analog. 8 ext.hibride. 1 terminal digital. 1 DISA cu mesaj de intampinare 180s . no CID,€ 298.42,0,0,Necunoscut
Pachet 81 - IP PBX - eMG80 4 trk analogice. 1 trk SIP cu 2 canale. 8 extensii hibride. 1 terminal digital. voice mail,€ 375.38,0,0,Necunoscut
Pachet 59-PBX-Panasonic-5 trk analog. 8 ext.hibride. 8 ext.analog. 1 term.digital.1 DISA cu mesaj de intamp.180s .no CID,€ 436.44,27,0,Necunoscut
M/P Samsung Galaxy S7 32GB Gold,€ 420.00,20,23,Necunoscut
M/P Samsung Galaxy S7 32GB Black,€ 420.00,12,0,Necunoscut
