Denumire,PretFMC,Stoc TKR,Stoc TKRM,Realimentare Stoc
M/P Huawei Ascend Y530 black,€ 63,2,0,EOL - nu mai revine
M/P Nokia Lumia 930 Black,€ 344,4,0,EOL - nu mai revine
M/P Nokia Lumia 635 Black,€ 115,8,0,EOL - nu mai revine
M/P Samsung Galaxy S6 64GB Black,€ 567,4,0,EOL - nu mai revine
M/P Sony Xperia M4 Aqua Black,€ 179,5,0,EOL - nu mai revine
M/P LG G Flex 2,€ 415,1,0,EOL - nu mai revine
M/P Samsung Galaxy Core Prime G360G Charcoal Grey,€ 113,2,0,EOL - nu mai revine
M/P Allview M9 Luna,€ 24,100,122,EOL - nu mai revine
M/P Allview X2 Soul Lite black,€ 97,1,0,EOL - nu mai revine
M/P Allview X2 Soul Lite white,€ 97,0,0,EOL - nu mai revine
M/P iPhone 6s 16GB Silver,€ 599,2,0,EOL - nu mai revine
M/P iPhone 6s 16GB Gold,€ 599,0,13,EOL - nu mai revine
M/P iPhone 6s 16GB Rose Gold,€ 599,0,8,EOL - nu mai revine
M/P iPhone 6s Plus 64GB Space Gray,€ 767,0,6,EOL - nu mai revine
Server Dell PowerEdge T110 II. Intel Xeon E3-1220. 4G.  Up to 4x 3.5 Cabled HDDs.210-35874,"€ 1,532",8,0,EOL - nu mai revine
PowerEdge T410 Tower Chassis. Up to 6x 3.5 Cabled HDDs. LED Diagnostics. C2. TPM.210-31925,"€ 2,627",6,0,EOL - nu mai revine
Hotel TV 32 . HD. HG32ED450SWXEN,€ 256,337,0,EOL - nu mai revine
TV Samsung RM48D,€ 597,21,0,EOL - nu mai revine
TV Samsung UE55J5100AWXXH,€ 708,24,0,EOL - nu mai revine
M/P Acer Z530 Dual Sim Black Flip Cover,€ 105,34,0,EOL - nu mai revine
Samsung Galaxy Tab Active (LTE) T365 Black,€ 366,32,0,EOL - nu mai revine
Samsung Galaxy Tab S (8.4'') T705 black,€ 363,5,0,EOL - nu mai revine
Pachet PBX 41 - NEC SL1000,€ 490,1,0,Necunoscut
Pachet PBX 42 - NEC SL1000,€ 333,16,0,Necunoscut
Pachet PBX 43 - NEC SL1000,€ 245,5,0,Necunoscut
M/P Nokia 230,€ 41,32,93,Necunoscut
M/P LG K10 Black,€ 101,0,59,EOL - nu mai revine
Tableta Huawei Mediapad T1 10,€ 187,1,1,Necunoscut
M/P LG L65 Black,€ 78,0,83,EOL - nu mai revine
M/P CAT B25,€ 41,15,100,Necunoscut
M/P Allview P8 Energy Mini dual sim grey,€ 97,2,40,EOL - nu mai revine
"Samsung Tab S2. 9.7"". LTE Black",€ 501,45,0,Necunoscut
"Samsung Tab S2. 8"". LTE Black",€ 444,86,0,Necunoscut
"Samsung Tab E. 9.6"". 3G Black",€ 156,3857,0,Necunoscut
Pachet 58-PBX-Panasonic-3 trk analog. 8 ext.hibride. 1 terminal digital. 1 DISA cu mesaj de intampinare 180s . no CID,€ 298,0,0,Necunoscut
Pachet 81 - IP PBX - eMG80 4 trk analogice. 1 trk SIP cu 2 canale. 8 extensii hibride. 1 terminal digital. voice mail,€ 375,0,0,Necunoscut
Pachet 59-PBX-Panasonic-5 trk analog. 8 ext.hibride. 8 ext.analog. 1 term.digital.1 DISA cu mesaj de intamp.180s .no CID,€ 436,27,0,Necunoscut
M/P Samsung Galaxy S7 32GB Gold,€ 420,14,17,Necunoscut
M/P Samsung Galaxy S7 32GB Black,€ 420,10,0,Necunoscut
Pachet 86 - IP PBX -  eMG80 - 4 trk analogice. 1 trk SIP cu 2 canale. 16 extensii hibride. 1 terminal digital. voice mai,€ 516,0,0,Necunoscut
Modem 4G Connect E5577c HOT SPOT,€ 45,114,59,EOL - nu mai revine
Modem 4G Connect E3372h,€ 34,707,121,Necunoscut
M/P Allview P5 Pro dual sim black,€ 55,1,0,EOL - nu mai revine
M/P iPhone 6s Plus 128GB Space Gray,€ 851,0,24,EOL - nu mai revine
Tableta Samsung Galaxy Tab A 7 LTE SM-T285NZKAROM,€ 145,85,31,Necunoscut
M/P Allview V2 Viper I dual sim white,€ 74,0,0,EOL - nu mai revine
M/P HTC Desire 530 Dark Grey,€ 132,4,10,EOL - nu mai revine
TV Samsung LH55RHEELGW/EN,€ 941,117,0,Necunoscut
M/P HTC Desire 828 Dark Grey,€ 263,0,7,EOL - nu mai revine
M/P HTC Desire 828 Pearl White,€ 263,0,7,EOL - nu mai revine
Tableta Huawei Mediapad T1 8,€ 155,0,56,Necunoscut
Tableta nJoy Kali 8 LTE,€ 85,0,19,EOL - nu mai revine
Pachet 95 - PBX - Panasonic - 2 trk SIP cu cate 2 canale IP fiecare. 6 trk analogice. 16 extensii analogice. 2 extensii ,€ 899,0,0,Necunoscut
Pachet 96 - PBX - Panasonic - 1 trk SIP cu 10 canale IP. 6 trk analogice. 24 extensii analogice. 2 extensii digitale. 4 ,"€ 1,192",0,0,Necunoscut
Mobile Phone RugGear RG500,€ 313,64,0,Necunoscut
Mobile Phone RugGear RG310,€ 242,65,0,Necunoscut
M/P LG G5 Titan,€ 462,0,11,EOL - nu mai revine
M/P LG K8 Indigo,€ 116,6,0,EOL - nu mai revine
M/P Nokia 230 Dual SIM Black,€ 41,70,94,19 Mar- 23 Mar
iPhone 6 64gb Space Grey,€ 599,0,20,EOL - nu mai revine
LKA-200-Telefon analogic,€ 12,0,0,Necunoscut
LKA-220C-Telefon analogic cu CID,€ 20,3,0,Necunoscut
MOBILINK GSM,€ 173,11,12,Necunoscut
Casca Bluetooth Plantronics BackBeat Sen,€ 141,0,0,Necunoscut
USB Flash Drive Tellur for iPhone 16GB,€ 37,4,4,EOL - nu mai revine
USB Flash Drive Tellur for iPhone 32GB,€ 49,4,2,EOL - nu mai revine
USB Flash Drive Tellur for iPhone 64GB,€ 71,5,3,EOL - nu mai revine
TV Samsung UE49K5102AKXBT,€ 504,102,0,Necunoscut
TV Samsung UE55K5102AKXBT,€ 718,102,0,Necunoscut
"Laptop Lenovo V310. i5. 15.6"" WIn 10 PRO. 1TB HDD + 128SSD. 8Gb. DVD.  WIn 10 PRO",€ 618,91,0,Necunoscut
"Laptop Lenovo T460. i5-6200U. 14.0"" FullHD. 8GB. SSD 256GB. WIn 10 PRO. 20FN003LRI","€ 1,028",32,0,Necunoscut
"Tableta Lenovo MIIX310,Procesor Z8350,10.1"" LED, 2GB, 64GB SSD,W10,LTE,80SG005FRI",€ 271,720,0,Necunoscut
M/P Allview P6 energy lite black,€ 53,0,2,EOL - nu mai revine
M/P Allview P8 emagic dark grey dual sim,€ 116,52,77,EOL - nu mai revine
M/P Huawei Y6 II Black dual sim,€ 132,1,0,EOL - nu mai revine
M/P Sony Xperia X black,€ 394,0,15,EOL - nu mai revine
M/P Sony Xperia X white,€ 394,0,5,EOL - nu mai revine
"Server NEC T110g-E. Xeon E3-1220v3 (3.1GHz. 8MB).4GB.1TB HDD.WS2012 R2. 21.5"" Philips 223V5LSB2/10","€ 1,393",9,0,Necunoscut
Monitor Asus VS247NR,€ 102,19,0,Necunoscut
Shop TV Samsung LH48RHEELGW/EN,€ 599,94,0,Necunoscut
M/P LG G4c Silver,€ 174,0,11,EOL - nu mai revine
M/P Sony Xperia XA Black,€ 178,0,16,EOL - nu mai revine
M/P Sony Xperia XA White,€ 178,0,20,EOL - nu mai revine
M/P Sony Xperia XA Rose Gold,€ 178,0,3,EOL - nu mai revine
M/P Sony Xperia E5 Black,€ 138,1,24,EOL - nu mai revine
M/P Sony Xperia E5 White,€ 138,2,26,EOL - nu mai revine
M/P Samsung Galaxy J3 LTE dual sim Black,€ 100,337,348,EOL - nu mai revine
M/P Samsung Galaxy J3 LTE dual sim White,€ 100,305,622,EOL - nu mai revine
M/P Allview A5 ready dual sim black,€ 42,114,180,EOL - nu mai revine
Deskjet Ink Advantage 3835 All-in-One,€ 44,788,0,Necunoscut
M/P Allview X3 Soul Lite Grey,€ 116,4,20,EOL - nu mai revine
M/P Allview X3 Soul Lite Gold,€ 116,6,6,EOL - nu mai revine
M/P Allview X3 Soul Style Mocha Gold,€ 179,4,10,EOL - nu mai revine
"Telefon DECT Panasonic cu ecran matricial cu afisare pe un rand, KX-TGB210FXB",€ 16,1,0,Necunoscut
Tableta Samsung Tab A 10.1 (T585),€ 231,17,65,Necunoscut
M/P Iphone 7 32GB Black,€ 567,26,0,2 Apr - 6 Apr
M/P Iphone 7 32GB Silver,€ 567,0,0,2 Apr - 6 Apr
M/P Iphone 7 32GB Gold,€ 567,7,18,EOL - nu mai revine
M/P Iphone 7 128GB Black,€ 662,1,1,EOL - nu mai revine
M/P Iphone 7 128GB Silver,€ 662,1,5,EOL - nu mai revine
M/P Iphone 7 128GB Gold,€ 662,0,24,EOL - nu mai revine
M/P Iphone 7 128GB Rose Gold,€ 662,0,6,EOL - nu mai revine
M/P Iphone 7 256GB Black,€ 756,0,16,EOL - nu mai revine
M/P Iphone 7 256GB Rose Gold,€ 756,3,27,EOL - nu mai revine
M/P Iphone 7 128GB Jet Black,€ 662,0,9,EOL - nu mai revine
M/P Iphone 7 256GB Jet Black,€ 756,1,20,EOL - nu mai revine
M/P Iphone 7 plus 128GB Rose Gold,€ 777,0,9,EOL - nu mai revine
M/P Iphone 7 plus 256GB Jet Black,€ 872,0,30,EOL - nu mai revine
M/P CAT S60,€ 536,0,24,Necunoscut
M/P Iphone 7 plus 256GB Black,€ 872,0,10,EOL - nu mai revine
M/P Allview X3 soul plus gold,€ 216,2,10,EOL - nu mai revine
M/P HTC Desire 10 Lifestyle white,€ 221,1,5,EOL - nu mai revine
Multifunctionala Laser Xerox WorkCenter 3215,€ 133,0,0,
M/P Lenovo K5 Dark Grey dual sim,€ 116,51,13,EOL - nu mai revine
M/P Iphone 7 plus128GB  Jet Black,€ 777,0,11,EOL - nu mai revine
Tableta Lenovo TB3-730X 16GB LTE,€ 95,0,0,Necunoscut
Smart Plug,€ 38,4,0,
Wi-fi Motion sensor,€ 34,5,0,
Camera Monitor HD,€ 80,0,0,
Water sensor,€ 57,5,0,
Siren DCH-S220,€ 48,5,0,
Camera Monitor 360,€ 79,13,0,
Wi-fi audio Extender,€ 39,5,0,
Connected Home Hub,€ 77,0,0,
Door & window sensor,€ 38,5,0,
Siren DCH-Z510,€ 53,5,0,
Batery Motion Sensor,€ 41,5,0,
Pachet Smart pentru birou Comfort,€ 152,67,0,
Pachet Smart pentru birou Security,€ 204,9,0,
M/P Allview E3 Jump,€ 132,7,34,EOL - nu mai revine
M/P Huawei Nova Prestige Gold,€ 300,0,4,EOL - nu mai revine
M/P Iphone 7 256GB Silver,€ 756,2,35,EOL - nu mai revine
M/P Iphone 7 256GB Gold,€ 756,2,36,EOL - nu mai revine
M/P Iphone 7 plus 128GB Silver,€ 777,0,27,EOL - nu mai revine
M/P Iphone 7 plus 128GB Gold,€ 777,0,5,EOL - nu mai revine
M/P Iphone 7 plus 256GB Silver,€ 872,0,30,EOL - nu mai revine
M/P Iphone 7 plus 256GB Gold,€ 872,0,19,EOL - nu mai revine
M/P Iphone 7 plus 256GB Rose Gold,€ 872,0,30,EOL - nu mai revine
M/P Iphone 6s 32GB Space Grey,€ 531,0,0,EOL - nu mai revine
M/P Allview P9 energy mini blue,€ 118,15,8,Necunoscut
M/P Allview P9 energy mini mocha gold,€ 118,10,8,Necunoscut
M/P Allview P7 Pro Grey dual sim,€ 92,30,68,Necunoscut
Casti Bluetooth Apple AirPods MMEF2ZM/A,€ 130,0,12,
Interfata GSM cu fax XS Jack T3E,€ 148,0,0,EOL - nu mai revine
M/P Allview M9 jump black dual,€ 48,21,2,Necunoscut
H-F Bluetooth Plantronics M55,€ 21,0,0,Necunoscut
Adaptor Tellur Retea Dual USB (2.1A),€ 6,19,1,
Adaptor Tellur Auto Dual USB (3.1A),€ 5,0,4,
Adaptor Tellur Auto Dual USB (2.4A),€ 6,0,5,
H-F Bluetooth Plantronics ML 15,€ 12,0,13,
H-F Bluetooth APOLLO black,€ 8,0,0,
H-F Bluetooth APOLLO white,€ 8,2,0,
H-F Bluetooth ATHLETE black,€ 24,18,0,
H-F Bluetooth ATHLETE white,€ 24,1,8,
H-F Bluetooth Plantronics Explorer 115,€ 40,28,3,
Acumulator extern Tellur Slim 5000 mAh,€ 10,3,0,
M/P HTC Desire 650 Arctic Night,€ 116,3,57,Necunoscut
M/P HTC Desire 650 Lime Light,€ 116,12,0,Necunoscut
M/P Nokia 150 Black,€ 24,1,0,EOL - nu mai revine
M/P Allview M9 Join Black,€ 26,4,6,EOL - nu mai revine
Router Huawei B315s,€ 87,10,34,Necunoscut
M/P HTC U Play Brilliant Black,€ 284,0,10,EOL - nu mai revine
M/P HTC U Play Sapphire Blue,€ 284,2,5,EOL - nu mai revine
M/P HTC U Ultra Brilliant Black,€ 499,1,5,Necunoscut
Ceas Smartwatch Samsung Gear S3. Frontier. bratara activa silicon. IP68. SM-R760NDAAROM,€ 324,34,31,EOL - nu mai revine
